"","level","no","yes","p","test"
"n","","7657","231","",""
"age (mean (SD))","","64.28 (15.97)","62.41 (14.35)","0.080",""
"Elixhauser (mean (SD))","","24.43 (15.28)","20.36 (15.01)","<0.001",""
"admissionapache (mean (SD))","","20.84 (9.54)","23.61 (9.67)","<0.001",""
"admissionsofa (mean (SD))","","6.32 (4.16)","7.25 (4.71)","0.001",""
"meanAbsoluteRass (mean (SD))","","1.38 (1.25)","2.19 (1.57)","<0.001",""
"geschlecht (%)","F","3128 (40.9)","71 (30.7)","0.003",""
"","M","4529 (59.1)","160 (69.3)","",""
"obes (%)","no","7018 (91.7)","187 (81.0)","<0.001",""
"","yes","639 (8.3)","44 (19.0)","",""
"dialyse (%)","no","6513 (85.1)","134 (58.0)","<0.001",""
"","yes","1144 (14.9)","97 (42.0)","",""
"ecmo (%)","no","7545 (98.5)","186 (80.5)","<0.001",""
"","yes","112 (1.5)","45 (19.5)","",""
"highflow (%)","no","5565 (72.7)","102 (44.2)","<0.001",""
"","yes","2092 (27.3)","129 (55.8)","",""
"intubated (%)","no","5472 (71.5)","126 (54.5)","<0.001",""
"","yes","2185 (28.5)","105 (45.5)","",""
"maskedventilation (%)","no","4449 (58.1)","133 (57.6)","0.926",""
"","yes","3208 (41.9)","98 (42.4)","",""
"tracheostomie (%)","no","7085 (92.5)","184 (79.7)","<0.001",""
"","yes","572 (7.5)","47 (20.3)","",""
"prone (%)","no","7355 (96.1)","231 (100.0)","0.004",""
"","yes","302 (3.9)","0 (0.0)","",""
"norepinephrine (%)","no","3445 (45.0)","49 (21.2)","<0.001",""
"","yes","4212 (55.0)","182 (78.8)","",""
"Fachrichtung (%)","CardiacSurgery","395 (5.2)","10 (4.3)","<0.001",""
"","InterdisciplinaryOperative","3838 (50.1)","82 (35.5)","",""
"","InternalMedicine","2144 (28.0)","123 (53.2)","",""
"","Multiple Wards and Specialties","259 (3.4)","16 (6.9)","",""
"","Neurocritical","1021 (13.3)","0 (0.0)","",""
